@relation "Demographic Clustering"

@attribute "Member id" numeric
@attribute SEC {1,2,3,4}
@attribute FEH {1,2,3}
@attribute MT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute SEX {1,2}
@attribute AGE {1,2,3,4}
@attribute EDU {1,2,3,4,5,6,7,8,9}
@attribute HS real
@attribute CHILD {1,2,3,4,5}
@attribute CS {1,2}
@attribute "Affluence Index" real

@data
1010010,4,3,10,1,4,4,-1.5036829163793333,4,1,-1.3163799485817202
1010020,3,2,10,2,2,4,-0.36668260153673704,2,1,0.17353077884099913
1014020,2,3,10,2,4,5,0.77031771330585919,4,1,0.52409800882281543
1014030,4,3,10,2,4,5,-0.366683,4,1,-1.4916635635726285
1014190,4,1,10,2,3,4,-0.36668260153673704,3,1,-0.61524548861808759
1017020,4,3,10,2,3,4,0.20181755588456107,2,1,-0.3523200661317254
1017110,4,2,10,2,4,1,-0.93518275895803515,2,1,-0.52760368112263356
1017160,4,3,10,2,2,4,0.20181755588456107,3,1,-1.4916635635726285
1017360,4,3,10,2,4,4,0.77031771330585919,4,1,-1.7528361499090444E-3
1017460,1,3,5,1,4,7,-0.93518275895803515,4,1,-0.96581271859990392
1017490,4,3,10,2,4,4,0.77031771330585919,4,1,1.1375906612909941
1020070,3,3,10,2,1,4,0.20181755588456107,4,1,8.5888971345545045E-2
1020210,4,3,17,2,3,3,-0.36668260153673704,3,2,-0.79052910360899575
1024050,4,3,17,2,3,3,0.77031771330585919,4,1,-0.61524548861808759
1024100,3,1,13,2,4,3,0.77031771330585919,4,1,-0.1770364511408172
1024120,4,3,10,2,4,3,0.20181755588456107,1,2,-0.3523200661317254
1024220,4,3,10,2,4,3,-0.36668260153673704,4,1,-0.52760368112263356
1024400,4,3,10,2,4,1,0.77031771330585919,2,1,-1.1410963335908122
1024630,4,3,17,2,3,4,0.20181755588456107,2,1,-0.26467825863627131
1025070,3,3,10,2,2,5,-0.366683,4,1,-1.4916635635726285
1025140,4,3,10,2,2,5,-0.366683,4,1,-1.4916635635726285
1025210,2,3,17,2,2,5,0.20181755588456107,2,1,-1.1410963335908122
1027040,4,3,10,2,3,4,1.3388178707271572,4,1,-0.52760368112263356
1027160,3,3,10,2,3,5,-0.366683,4,1,-1.4916635635726285
1027210,4,3,10,2,3,5,-0.366683,4,1,-1.4916635635726285
1027390,3,3,10,2,3,5,-0.36668260153673704,3,1,8.5888971345545045E-2
1027480,4,1,4,2,4,4,1.3388178707271572,4,1,-0.70288729611354173
1027540,3,3,10,2,2,3,-1.5036829163793333,4,1,-0.52760368112263356
1027580,4,3,10,2,2,4,0.77031771330585919,3,1,-0.3523200661317254
1027680,4,3,10,2,2,5,-0.366683,4,1,-1.4916635635726285
1027720,4,1,10,2,4,4,-0.36668260153673704,2,2,-1.1410963335908122
